Summary,Issue Type,Description,Priority,Story Points,Epic Name,Epic Link,Labels,Sprint
HU-012 · Renovar sesión antes de que expire,Story,"Como usuario, quiero seguir trabajando sin que se me corte la sesión de golpe, para no perder lo que estoy haciendo.

CRITERIOS DE ACEPTACIÓN
1. El token dura 3 horas y se renueva de forma transparente mientras haya actividad.
2. Tras el periodo de inactividad se pide iniciar sesión de nuevo con aviso previo.

Valor de negocio: 3/5  ·  Prioridad: Should

Depende de: HU-007",Medium,5,,Autenticación y Acceso,Post-MVP,
HU-019 · Carga masiva de usuarios desde archivo,Story,"Como administrador, quiero importar muchas personas desde un CSV o Excel, para no dar de alta uno por uno al inicio de cada periodo.

CRITERIOS DE ACEPTACIÓN
1. Se puede descargar una plantilla con las columnas esperadas.
2. Antes de importar se muestra una previsualización con los errores detectados por fila.
3. Las filas válidas se importan aunque otras fallen, y se entrega un resumen final.
4. Los correos duplicados se reportan sin interrumpir el proceso.

Valor de negocio: 4/5  ·  Prioridad: Should

Depende de: HU-014

Nota: Alto impacto para clientes educativos: dar de alta 300 estudiantes a mano no es viable.",Medium,5,,Usuarios y Roles,Post-MVP,
HU-022 · Editar y eliminar grupo,Story,"Como administrador, quiero renombrar o borrar un grupo, para mantener la estructura organizada entre periodos.

CRITERIOS DE ACEPTACIÓN
1. Al borrar se pide confirmación y se avisa cuántos aprendices quedarán sin ese grupo.
2. Borrar el grupo no borra a sus integrantes ni los cursos.

Valor de negocio: 2/5  ·  Prioridad: Should

Depende de: HU-020

Nota: Funciona, pero sin autenticación.",Medium,2,,Grupos,Post-MVP,
HU-029 · Eliminar o archivar curso,Story,"Como administrador, quiero retirar un curso del catálogo, para depurar contenido que ya no se dicta.

CRITERIOS DE ACEPTACIÓN
1. Se pide confirmación y se avisa cuántos aprendices lo tienen asignado.
2. Se prefiere archivar sobre borrar, para conservar el histórico de progreso.
3. Un curso archivado deja de aparecer para los aprendices.

Valor de negocio: 3/5  ·  Prioridad: Should

Depende de: HU-026",Medium,3,,Cursos y Estructura de Contenido,Post-MVP,
HU-033 · Publicar o despublicar un curso,Story,"Como administrador / instructor, quiero controlar cuándo el curso se hace visible, para prepararlo con calma antes de abrirlo.

CRITERIOS DE ACEPTACIÓN
1. Un curso en borrador solo lo ven quienes lo administran.
2. Al publicar se valida que tenga al menos un sección con contenido.
3. Despublicar no borra el progreso ya registrado.

Valor de negocio: 3/5  ·  Prioridad: Should

Depende de: HU-032",Medium,2,,Cursos y Estructura de Contenido,Post-MVP,
HU-036 · Editar y eliminar actividad,Story,"Como instructor, quiero corregir o retirar una actividad, para mantener el contenido actualizado.

CRITERIOS DE ACEPTACIÓN
1. Solo puedo modificar actividades de cursos que tengo asignados.
2. Al eliminar se advierte si ya existen entregas asociadas.
3. Se prefiere ocultar frente a borrar cuando ya hay entregas.

Valor de negocio: 3/5  ·  Prioridad: Should

Depende de: HU-034",Medium,3,,Actividades y Recursos Multimedia,Post-MVP,
HU-039 · Eliminar material de apoyo,Story,"Como instructor, quiero quitar un archivo de una actividad, para retirar material obsoleto.

CRITERIOS DE ACEPTACIÓN
1. Se pide confirmación.
2. El archivo se elimina también del almacenamiento externo, no solo la referencia.

Valor de negocio: 2/5  ·  Prioridad: Could

Depende de: HU-037",Low,3,,Actividades y Recursos Multimedia,Post-MVP,
HU-042 · Importar preguntas desde un archivo,Story,"Como instructor, quiero cargar las preguntas de un examen desde un archivo, para no escribir cincuenta preguntas a mano.

CRITERIOS DE ACEPTACIÓN
1. Hay una plantilla descargable con las columnas esperadas.
2. Se previsualizan los errores por fila antes de confirmar la importación.
3. Las filas válidas se importan aunque otras fallen.

Valor de negocio: 4/5  ·  Prioridad: Should

Depende de: HU-041",Medium,5,,Evaluaciones,Post-MVP,
HU-043 · Reutilizar preguntas ya cargadas,Story,"Como instructor, quiero reaprovechar en una actividad nueva las preguntas o términos que ya cargué en otra del mismo curso, para no volver a escribir el mismo contenido para cada examen o juego.

CRITERIOS DE ACEPTACIÓN
1. Al crear una actividad puedo elegir entre cargar contenido nuevo o tomarlo de otra actividad del curso.
2. Solo se ofrecen actividades cuyo contenido es compatible con el tipo que estoy creando.
3. Editar el contenido en una actividad no altera el de la otra.

Valor de negocio: 4/5  ·  Prioridad: Should

Depende de: HU-041

Nota: Es la pieza que evita duplicar trabajo cuando un curso tiene examen y varios juegos sobre el mismo tema. Vale la pena en cuanto haya más de dos actividades por sección.",Medium,5,,Evaluaciones,Post-MVP,
HU-050 · Permitir reenvío de una entrega,Story,"Como instructor, quiero reabrir una entrega ya calificada, para dar una segunda oportunidad cuando corresponde.

CRITERIOS DE ACEPTACIÓN
1. Al reabrir, la entrega vuelve a estado pendiente y se conserva el histórico de la nota anterior.
2. El aprendiz recibe una notificación indicando el motivo.

Valor de negocio: 2/5  ·  Prioridad: Could

Depende de: HU-048",Low,3,,Entregas y Calificación,Post-MVP,
HU-053 · Configurar la tabla de niveles,Story,"Como administrador, quiero definir cuánto XP requiere cada nivel, para ajustar la curva de progresión a mi organización.

CRITERIOS DE ACEPTACIÓN
1. Puedo definir los umbrales de cada nivel y su nombre.
2. Cambiar la tabla recalcula el nivel de todos los usuarios de la organización.
3. Cada organización tiene su propia configuración.

Valor de negocio: 3/5  ·  Prioridad: Should

Depende de: HU-052",Medium,5,,Gamificación: XP y Niveles,Post-MVP,
HU-055 · Reglas de tope y antiabuso de XP,Story,"Como sistema, quiero limitar cuánto XP se puede ganar repitiendo lo mismo, para que el ranking mida aprendizaje y no insistencia.

CRITERIOS DE ACEPTACIÓN
1. Una actividad otorga XP completo solo en el primer intento; las repeticiones dan un porcentaje reducido o cero.
2. Existe un tope diario de XP configurable por organización.
3. Los intentos que no otorgan XP se lo indican al aprendiz de forma clara.

Valor de negocio: 4/5  ·  Prioridad: Must

Depende de: HU-052

Nota: Imprescindible antes de lanzar los juegos: un juego rejugable sin tope convierte el XP en una fuente infinita.",Highest,5,,Gamificación: XP y Niveles,Post-MVP,
HU-058 · Racha de días activos,Story,"Como aprendiz, quiero que se registre mi constancia diaria, para mantener el hábito de estudio.

CRITERIOS DE ACEPTACIÓN
1. La racha aumenta con al menos una actividad completada por día.
2. Se reinicia tras un día sin actividad.
3. Se otorga XP extra en hitos de racha configurables.

Valor de negocio: 3/5  ·  Prioridad: Could

Depende de: HU-052",Low,3,,Gamificación: XP y Niveles,Post-MVP,
HU-059 · Crear logro,Story,"Como administrador / instructor, quiero definir un logro con nombre, descripción e insignia, para dar metas concretas a los aprendices.

CRITERIOS DE ACEPTACIÓN
1. El logro pertenece a mi organización.
2. Puedo subir o elegir una insignia.
3. El logro queda inactivo hasta definirle una condición.

Valor de negocio: 3/5  ·  Prioridad: Should

Depende de: HU-001",Medium,3,,Gamificación: Logros,Post-MVP,
HU-060 · Definir la condición de una medalla,Story,"Como administrador / instructor, quiero elegir de una lista qué hay que cumplir para ganar una medalla y con qué valores, para premiar conductas concretas sin depender del equipo técnico para cada medalla nueva.

CRITERIOS DE ACEPTACIÓN
1. Elijo el tipo de condición de un catálogo cerrado de nueve opciones y solo completo sus valores.
2. El sistema me muestra cuántas personas cumplirían la condición hoy, antes de activarla.
3. Una medalla sin condición definida queda inactiva y no se puede desbloquear.
4. Cambiar la condición no retira las medallas ya otorgadas.

Valor de negocio: 3/5  ·  Prioridad: Should

Depende de: HU-059

Nota: El catálogo cerrado de condiciones es la decisión clave: permite crear medallas nuevas sin escribir código. Un motor de reglas libre costaría varias veces más y nadie lo usaría.",Medium,5,,Gamificación: Logros,Post-MVP,
HU-061 · Desbloquear logro automáticamente,Story,"Como sistema, quiero otorgar el logro en cuanto se cumple la condición, para que la recompensa se sienta inmediata.

CRITERIOS DE ACEPTACIÓN
1. La evaluación ocurre solo en los cinco momentos definidos, no de forma continua.
2. Una medalla se otorga una única vez por persona y no se puede perder.
3. Al desbloquearla se notifica en el momento y aparece en el perfil.
4. Las medallas de ranking se evalúan al cierre del periodo, no en tiempo real.

Valor de negocio: 3/5  ·  Prioridad: Should

Depende de: HU-060

Nota: Acotar la evaluación a cinco disparadores es lo que hace que el sistema sea barato: sin eso habría que revisar todas las condiciones de todos los usuarios continuamente.",Medium,5,,Gamificación: Logros,Post-MVP,
HU-062 · Ver mis logros,Story,"Como aprendiz, quiero ver los logros que gané y los que me faltan, para saber qué puedo perseguir.

CRITERIOS DE ACEPTACIÓN
1. Los desbloqueados muestran la fecha de obtención.
2. Los pendientes muestran la condición y mi avance hacia ella.

Valor de negocio: 3/5  ·  Prioridad: Should

Depende de: HU-061",Medium,2,,Gamificación: Logros,Post-MVP,
HU-063 · Crear actividad de sopa de letras,Story,"Como instructor, quiero crear una actividad de tipo sopa de letras indicando la lista de términos, para reforzar el tema de forma lúdica sin tener que diseñar el juego a mano.

CRITERIOS DE ACEPTACIÓN
1. Al crear la actividad elijo sopa de letras y el formulario me pide exactamente la lista de términos.
2. Configuro el tamaño de la cuadrícula y si admite diagonales e inversos; si algún término no cabe, el sistema avisa antes de guardar.
3. Puedo previsualizarlo y volver a generarlo hasta que me guste antes de publicarlo.
4. Queda insertado como una actividad más dentro de la sección.

Valor de negocio: 4/5  ·  Prioridad: Should

Depende de: HU-034",Medium,5,,Juegos Autogenerables,Post-MVP,
HU-064 · Crear actividad de crucigrama,Story,"Como instructor, quiero crear una actividad de tipo crucigrama indicando los términos con su definición, para reforzar el tema de forma lúdica sin tener que diseñar el juego a mano.

CRITERIOS DE ACEPTACIÓN
1. Al crear la actividad elijo crucigrama y el formulario me pide exactamente los términos con su definición.
2. El término es la respuesta y su definición la pista; el sistema cruza las palabras, las numera y reporta las que no pudo ubicar.
3. Puedo previsualizarlo y volver a generarlo hasta que me guste antes de publicarlo.
4. Queda insertado como una actividad más dentro de la sección.

Valor de negocio: 4/5  ·  Prioridad: Could

Depende de: HU-034

Nota: El de mayor complejidad algorítmica del grupo. Conviene dejarlo para el final, cuando los demás ya validaron el flujo.",Low,8,,Juegos Autogenerables,Post-MVP,
HU-066 · Crear actividad de parejas o memoria,Story,"Como instructor, quiero crear una actividad de parejas indicando los términos con su definición, para reforzar el tema de forma lúdica sin tener que diseñar el juego a mano.

CRITERIOS DE ACEPTACIÓN
1. Al crear la actividad elijo parejas y el formulario me pide exactamente los términos con su definición.
2. El tablero empareja cada término con su definición y mide tiempo e intentos.
3. Puedo previsualizarlo y volver a generarlo hasta que me guste antes de publicarlo.
4. Queda insertado como una actividad más dentro de la sección.

Valor de negocio: 4/5  ·  Prioridad: Could

Depende de: HU-034

Nota: El más barato de construir de los cuatro. Buen candidato para validar el flujo de autogeneración antes de invertir en el crucigrama.",Low,3,,Juegos Autogenerables,Post-MVP,
HU-068 · Configurar dificultad y recompensa del juego,Story,"Como instructor, quiero ajustar la dificultad y el XP de cada juego, para equilibrarlo con el resto del curso.

CRITERIOS DE ACEPTACIÓN
1. Configuro nivel de dificultad, tiempo límite y puntos máximos que otorga.
2. Puedo previsualizar el juego con esa configuración antes de publicarlo.

Valor de negocio: 3/5  ·  Prioridad: Could

Depende de: HU-067",Low,3,,Juegos Autogenerables,Post-MVP,
HU-070 · Editar mi perfil,Story,"Como usuario, quiero actualizar mis datos personales, para mantenerlos vigentes.

CRITERIOS DE ACEPTACIÓN
1. Puedo cambiar nombre, apellido y teléfono.
2. No puedo cambiar mi rol, mi organización ni mi XP.
3. El correo solo se cambia con verificación del nuevo.

Valor de negocio: 3/5  ·  Prioridad: Should

Depende de: HU-069

Nota: Hace falta un endpoint propio de autoservicio con una lista blanca de campos editables.",Medium,3,,Perfil de Usuario,Post-MVP,
HU-072 · Cambiar mi foto de perfil,Story,"Como usuario, quiero subir una foto, para personalizar mi cuenta.

CRITERIOS DE ACEPTACIÓN
1. Se aceptan imágenes con límite de tamaño y se recortan a cuadrado.
2. La foto aparece en el ranking y en los comentarios.

Valor de negocio: 1/5  ·  Prioridad: Could

Depende de: HU-070",Low,3,,Perfil de Usuario,Post-MVP,
HU-073 · Centro de notificaciones,Story,"Como usuario, quiero ver en un solo lugar lo que requiere mi atención, para no perderme nada importante.

CRITERIOS DE ACEPTACIÓN
1. Hay un indicador con el número de notificaciones sin leer.
2. Puedo marcarlas como leídas individualmente o todas.
3. Cada notificación enlaza al contenido que la originó.

Valor de negocio: 3/5  ·  Prioridad: Should

Depende de: HU-007",Medium,5,,Notificaciones,Post-MVP,
HU-074 · Notificar eventos relevantes,Story,"Como sistema, quiero avisar cuando ocurre algo que le importa al usuario, para mantener el compromiso con la plataforma.

CRITERIOS DE ACEPTACIÓN
1. Se notifica al aprendiz cuando su entrega es calificada, cuando desbloquea un logro y cuando sube de nivel.
2. Se notifica al instructor cuando recibe una entrega nueva.
3. Se notifica la publicación de una actividad nueva en un curso asignado.

Valor de negocio: 3/5  ·  Prioridad: Should

Depende de: HU-073",Medium,5,,Notificaciones,Post-MVP,
HU-075 · Configurar mis preferencias de notificación,Story,"Como usuario, quiero elegir qué avisos recibo y por qué canal, para no saturarme.

CRITERIOS DE ACEPTACIÓN
1. Puedo activar o desactivar cada tipo de notificación por separado.
2. Puedo elegir entre notificación dentro de la plataforma y correo.
3. Las preferencias se respetan en todos los envíos.

Valor de negocio: 2/5  ·  Prioridad: Could

Depende de: HU-074",Low,3,,Notificaciones,Post-MVP,
HU-076 · Panel de progreso del aprendiz,Story,"Como aprendiz, quiero ver mi avance consolidado, para saber dónde estoy parado.

CRITERIOS DE ACEPTACIÓN
1. Veo porcentaje de avance por curso, XP total, nivel y logros.
2. Veo mis actividades pendientes ordenadas por fecha límite.

Valor de negocio: 4/5  ·  Prioridad: Should

Depende de: HU-040, HU-052",Medium,5,,Reportes y Analítica,Post-MVP,
HU-077 · Reporte de avance por curso,Story,"Como instructor, quiero ver cómo va cada aprendiz en mis cursos, para detectar a tiempo a quien se está quedando.

CRITERIOS DE ACEPTACIÓN
1. Tabla con avance, XP, entregas pendientes y última conexión por aprendiz.
2. Se resaltan quienes llevan más de N días sin actividad.
3. Solo incluye cursos que tengo asignados.

Valor de negocio: 4/5  ·  Prioridad: Should

Depende de: HU-076",Medium,5,,Reportes y Analítica,Post-MVP,
HU-078 · Reporte de uso de la organización,Story,"Como administrador, quiero ver métricas agregadas de mi organización, para justificar la inversión y detectar problemas.

CRITERIOS DE ACEPTACIÓN
1. Usuarios activos, cursos publicados, tasa de finalización y XP promedio.
2. Comparación contra el periodo anterior.
3. Los datos son solo de mi organización.

Valor de negocio: 4/5  ·  Prioridad: Should

Depende de: HU-076",Medium,5,,Reportes y Analítica,Post-MVP,
HU-079 · Exportar reportes,Story,"Como administrador / instructor, quiero descargar los reportes en Excel o PDF, para compartirlos fuera de la plataforma.

CRITERIOS DE ACEPTACIÓN
1. La exportación respeta los filtros aplicados en pantalla.
2. El archivo incluye fecha de generación y quién lo generó.

Valor de negocio: 3/5  ·  Prioridad: Could

Depende de: HU-077",Low,3,,Reportes y Analítica,Post-MVP,
